1 => cctv1 | CCTV1
456503 => 456503 | 民視無線台
456504 => 456504 | TBC桃園生活台
456505 => 456505 | 台視
456507 => 456507 | 大愛電視台
456508 => 456508 | 中視
456509 => 456509 | 人間衛視
456510 => 456510 | 華視
456511 => 456511 | 公共電視
456513 => 456513 | 公視台語台
456514 => 456514 | 好消息頻道
456516 => 456516 | 原住民頻道
456517 => 456517 | 客家電視台
456518 => 456518 | BBC Earth
456519 => 456519 | Discovery
456520 => 456520 | TLC旅遊生活頻道
456521 => 456521 | 動物星球
456522 => 456522 | 卡通頻道
456523 => 456523 | 小尼克頻道
456524 => 456524 | MOMO親子台
456525 => 456525 | 東森幼幼台
456526 => 456526 | 緯來綜合台
456527 => 456527 | 八大第一台
456528 => 456528 | 八大綜合台
456529 => 456529 | 三立台灣台
456530 => 456530 | 三立都會台
456531 => 456531 | 華藝中文台
456532 => 456532 | 東森綜合台
456533 => 456533 | 東森超視
456534 => 456534 | 東森購物2台
456535 => 456535 | MOMO 2台
456536 => 456536 | 中天綜合台
456537 => 456537 | 東風衛視
456538 => 456538 | 年代MUCH TV
456539 => 456539 | 中天娛樂台
456541 => 456541 | 東森戲劇台
456542 => 456542 | 八大戲劇台
456543 => 456543 | TVBS歡樂台
456544 => 456544 | 緯來戲劇台
456545 => 456545 | 高點電視台
456546 => 456546 | JET綜合台
456547 => 456547 | 東森購物3台
456548 => 456548 | 東森購物1台
456549 => 456549 | MOMO 1台
456550 => 456550 | 壹電視新聞台
456551 => 456551 | 年代新聞台
456552 => 456552 | 東森新聞台
456553 => 456553 | 民視新聞台
456555 => 456555 | 三立新聞台
456556 => 456556 | TVBS 新聞台
456557 => 456557 | TVBS
456558 => 456558 | 東森財經新聞台
456560 => 456560 | 非凡新聞台
456561 => 456561 | ViVa1台
456562 => 456562 | 東森購物5台
456563 => 456563 | CATCHPLAY電影台
456564 => 456564 | 東森電影台
456565 => 456565 | 緯來電影台
456566 => 456566 | LS Time電影台
456567 => 456567 | HBO
456568 => 456568 | 東森洋片台
456569 => 456569 | AXN
456570 => 456570 | 好萊塢電影台
456571 => 456571 | amc電影台
456572 => 456572 | 緯來育樂台
456574 => 456574 | CINEMAX
456575 => 456575 | 緯來體育台
456576 => 456576 | DAZN 1
456577 => 456577 | DAZN 2
456578 => 456578 | MOMO綜合台
456579 => 456579 | 緯來日本台
456580 => 456580 | 國興衛視
456581 => 456581 | BBC Lifestyle
456582 => 456582 | 靖天資訊台
456583 => 456583 | 信吉電視台
456584 => 456584 | 信大電視台
456585 => 456585 | 中台灣生活網頻道
456586 => 456586 | TBC台中生活台
456587 => 456587 | 鏡電視新聞台
456588 => 456588 | 台灣藝術台
456589 => 456589 | 樂視台
456590 => 456590 | 非凡商業台
456591 => 456591 | 三立財經新聞台
456592 => 456592 | 冠軍電視台
456593 => 456593 | 運通財經綜合台
456594 => 456594 | SBN全球財經台
456595 => 456595 | 誠心電視台
456596 => 456596 | NHK
456597 => 456597 | MTV
456598 => 456598 | Animax
456599 => 456599 | 霹靂台灣台
456600 => 456600 | 海豚綜合台
456601 => 456601 | 八大娛樂台
456602 => 456602 | 十方法界
456603 => 456603 | 壹電視電影台
456604 => 456604 | 華藏衛視
456605 => 456605 | 壹電視資訊綜合台
456606 => 456606 | 佛衛慈悲台
456607 => 456607 | 紅豆電視台
456608 => 456608 | 全大電視台
456609 => 456609 | 華藝台灣台
456610 => 456610 | 正德電視台
456611 => 456611 | 天良綜合台
456612 => 456612 | 番薯衛星電視台
456613 => 456613 | 富立電視台
456615 => 456615 | Z頻道
456617 => 456617 | 冠軍夢想台
456618 => 456618 | 新天地民俗台
456619 => 456619 | 三聖電視台
456620 => 456620 | 威達超舜生活台
456621 => 456621 | 天美麗電視台
456622 => 456622 | 大立電視台
456623 => 456623 | 雙子衛視
456624 => 456624 | 小公視
456625 => 456625 | 華視教育體育文化台
456626 => 456626 | 國會頻道1台
456627 => 456627 | 國會頻道2台
456628 => 456628 | 幸福空間居家台
456629 => 456629 | 高點育樂台
456630 => 456630 | 台灣綜合台
456631 => 456631 | 唯心電視台
456632 => 456632 | 美麗人生購物台
456633 => 456633 | 大愛二台
456634 => 456634 | 靖天映畫
456635 => 456635 | 靖洋戲劇台
456636 => 456636 | ROCK Action
456637 => 456637 | Global Trekker 探索世界
456638 => 456638 | 靖天綜合台
456639 => 456639 | 寶島文化台
456640 => 456640 | TaiwanPlus
456641 => 456641 | BBC News
456642 => 456642 | 民視第一台
456643 => 456643 | 民視台灣台
456644 => 456644 | 中視新聞台
456645 => 456645 | 台視新聞台
456646 => 456646 | 台視財經台
456647 => 456647 | 台視綜合台
456648 => 456648 | 彭博財經台
456649 => 456649 | Channel NewsAsia
456650 => 456650 | 韓國阿里郎
456651 => 456651 | DREAMWORKS
456652 => 456652 | Warner TV
456653 => 456653 | 靖天電影台
456654 => 456654 | CinemaWorld
456655 => 456655 | HBO HD
456656 => 456656 | HBO 強檔鉅獻
456657 => 456657 | HBO 原創鉅獻
456658 => 456658 | HBO 溫馨家庭
456659 => 456659 | 靖天日本台
456660 => 456660 | EVE
456661 => 456661 | tvN
456662 => 456662 | 靖天歡樂台
456663 => 456663 | HITS
456664 => 456664 | 韓國娛樂台KMTV
456665 => 456665 | 靖天育樂台
456666 => 456666 | Lifetime
456667 => 456667 | 罪案偵緝頻道
456668 => 456668 | 寵物頻道
456670 => 456670 | 歷史頻道
456671 => 456671 | Discovery Asia
456807 => 456807 | Discovery科學頻道
456808 => 456808 | DMAX
456809 => 456809 | 寰宇新聞台灣台
456810 => 456810 | 亞洲旅遊台
456811 => 456811 | 梅迪奇藝術
456812 => 456812 | 博斯運動二台
456813 => 456813 | 博斯網球台
456814 => 456814 | 博斯無限台
456815 => 456815 | 博斯高球1台
456816 => 456816 | 博斯高球2台
456817 => 456817 | 博斯魅力網
456818 => 456818 | 博斯運動一台
456819 => 456819 | 博斯無限二台
456821 => 456821 | 尼克兒童頻道
456822 => 456822 | 達文西頻道
456823 => 456823 | CBeebies
456824 => 456824 | CARTOONITO
456825 => 456825 | 靖洋卡通台
456826 => 456826 | 靖天卡通台
456827 => 456827 | LOVE NATURE 4K
456828 => 456828 | ROCK ENTERTAINMENT
456829 => 456829 | ROCK EXTREME
456830 => 456830 | 彩虹頻道
456831 => 456831 | 彩虹e台
456832 => 456832 | 彩虹電影台
456833 => 456833 | K 頻道
456834 => 456834 | 松視1台
456835 => 456835 | 松視2台
456836 => 456836 | 松視3台
456837 => 456837 | 松視4台
456838 => 456838 | 潘朵啦高畫質玩美台
456839 => 456839 | 潘朵啦高畫質粉紅台
456840 => 456840 | JStar極限台電影頻道
456841 => 456841 | 驚豔成人電影台
456842 => 456842 | 香蕉台
456843 => 456843 | 樂活頻道
456844 => 456844 | 玩家頻道
456845 => 456845 | Happy
456846 => 456846 | Hot
457208 => 457208 | 頻道總表
457209 => 457209 | 民視HD
457210 => 457210 | 人間衛視HD
457211 => 457211 | 台視HD
457212 => 457212 | 大愛電視HD
457213 => 457213 | 中視HD
457214 => 457214 | 華視HD
457215 => 457215 | 公視(HD)
457216 => 457216 | 公視台語台HD
457217 => 457217 | 好消息HD
457218 => 457218 | 原住民族電視HD
457219 => 457219 | 客家電視HD
457220 => 457220 | 華視教育體育文化台
457221 => 457221 | 公視兒少台HD
457222 => 457222 | 大愛二台HD
457223 => 457223 | CARTOONITO HD
457224 => 457224 | ELTV生活英語台
457225 => 457225 | 龍華動畫HD
457226 => 457226 | 尼克兒童頻道HD
457227 => 457227 | 靖洋卡通台Nice Bingo HD
457228 => 457228 | 靖天卡通台 HD
457229 => 457229 | Cbeebies HD
457230 => 457230 | 達文西頻道HD
457231 => 457231 | Nick Jr.
457232 => 457232 | DREAMWORKS
457233 => 457233 | 國會頻道1HD
457234 => 457234 | 國會頻道2HD
457235 => 457235 | Fun探索娛樂台 4K
457236 => 457236 | Medici-arts HD
457238 => 457238 | MTV綜合台HD
457239 => 457239 | Mezzo Live
457240 => 457240 | TRACE Urban HD
457241 => 457241 | 古典音樂台HD
457242 => 457242 | CMusic
457243 => 457243 | 愛爾達體育1台
457244 => 457244 | 愛爾達體育2台
457245 => 457245 | 愛爾達體育3台
457246 => 457246 | 愛爾達體育4台
457247 => 457247 | 博斯高球一台
457248 => 457248 | 博斯高球二台
457249 => 457249 | 博斯網球HD
457250 => 457250 | 博斯魅力HD
457251 => 457251 | 博斯無限台HD
457252 => 457252 | 博斯無限二台
457253 => 457253 | TRACE Sport Stars HD
457254 => 457254 | DAZN 3
457255 => 457255 | 博斯運動一台
457256 => 457256 | 博斯運動二台HD
457257 => 457257 | DAZN 2
457258 => 457258 | 智林體育HD
457259 => 457259 | EUROSPORT HD
457260 => 457260 | 麥哲倫頻道 HD
457261 => 457261 | LOVE NATURE 4K
457262 => 457262 | BBC Earth HD
457263 => 457263 | Discovery Asia HD
457264 => 457264 | Discovery科學HD
457265 => 457265 | DMAX HD
457266 => 457266 | EVE HD
457267 => 457267 | Global Trekker HD
457268 => 457268 | 歷史頻道HD
457269 => 457269 | 罪案偵緝頻道HD
457270 => 457270 | BBC Lifestyle HD
457271 => 457271 | INULTRA
457272 => 457272 | PET CLUB TV HD
457273 => 457273 | LUXE TV HD
457274 => 457274 | Lifetime HD
457275 => 457275 | KLT-靖天國際台HD
457276 => 457276 | 幸福空間居家台
457277 => 457277 | 滾動力 rollor
457278 => 457278 | HGTV居家樂活頻道
457279 => 457279 | 車迷TV HD
457280 => 457280 | 美食星球HD
457281 => 457281 | 亞洲美食頻道
457282 => 457282 | Food Network 美食台HD
457283 => 457283 | 亞洲旅遊HD
457284 => 457284 | EYE TV旅遊台HD
457285 => 457285 | Travel Channel HD
457286 => 457286 | Fashion TV HD
457287 => 457287 | TV5MONDE STYLE HD 生活時尚
457288 => 457288 | 愛爾達綜合台HD
457289 => 457289 | 三立綜合台HD
457290 => 457290 | 靖天資訊HD
457291 => 457291 | 靖天綜合台HD
457292 => 457292 | 靖天育樂HD
457293 => 457293 | Smart 知識HD
457294 => 457294 | 台視綜合
457295 => 457295 | 亞洲綜合HD
457296 => 457296 | 中視經典台HD
457297 => 457297 | 寰宇HD綜合
457298 => 457298 | 中視菁采台HD
457299 => 457299 | TVBS精采台HD
457300 => 457300 | 壹電視綜合 HD
457301 => 457301 | 緯來精采HD
457302 => 457302 | 高點育樂台
457303 => 457303 | ETtoday綜合台
457304 => 457304 | 民視第一台HD
457305 => 457305 | 民視台灣台HD
457306 => 457306 | Nice TV 靖天歡樂台
457307 => 457307 | 八大優頻道
457308 => 457308 | momo綜合台HD
457309 => 457309 | momo2台HD
457310 => 457310 | 東森購物3台HD
457311 => 457311 | 三立戲劇台HD
457312 => 457312 | 台灣戲劇HD
457313 => 457313 | 龍華戲劇HD
457314 => 457314 | 龍華偶像HD
457315 => 457315 | 龍華影劇HD
457316 => 457316 | 愛爾達影劇台HD
457317 => 457317 | 靖天戲劇HD
457318 => 457318 | 靖洋戲劇HD
457319 => 457319 | EYE TV戲劇台HD
457320 => 457320 | 東森購物2台HD
457321 => 457321 | 靖天日本HD
457322 => 457322 | 曼迪日本台HD
457323 => 457323 | Animax
457324 => 457324 | OUTtv HD
457325 => 457325 | tvN HD
457326 => 457326 | 韓國娛樂台KMTV HD
457327 => 457327 | 華藝中文台
457328 => 457328 | ROCK Extreme
457329 => 457329 | ROCK Entertainment
457330 => 457330 | 美好2台
457331 => 457331 | momo1台HD
457332 => 457332 | 東森購物4台HD
457333 => 457333 | 中視新聞HD
457334 => 457334 | 寰宇新聞HD
457335 => 457335 | 寰宇新聞台灣台HD
457336 => 457336 | 台視新聞HD
457337 => 457337 | 三立財經新聞台HD
457338 => 457338 | 華視新聞資訊HD
457339 => 457339 | 壹電視新聞HD
457340 => 457340 | 民視新聞台HD
457341 => 457341 | 鏡電視新聞台
457342 => 457342 | 寰宇財經HD
457343 => 457343 | 台視財經HD
457344 => 457344 | 美好1台HD
457345 => 457345 | 東森購物5台HD
457346 => 457346 | CNNI HD
457347 => 457347 | BBC NEWS HD
457348 => 457348 | Bloomberg
457349 => 457349 | Channel NewsAsia
457350 => 457350 | CNBC Asia
457351 => 457351 | Euronews
457352 => 457352 | 德國之聲
457353 => 457353 | FRANCE24E HD
457354 => 457354 | TaiwanPlus
457355 => 457355 | NHK新聞資訊台HD
457356 => 457356 | 半島英語新聞台Al Jazeera English HD
457358 => 457358 | 視納華仁紀實台HD
457359 => 457359 | 影迷數位紀實台HD
457360 => 457360 | 美亞電影HD
457361 => 457361 | 龍華電影HD
457362 => 457362 | 靖天映畫HD
457363 => 457363 | 靖天電影HD
457364 => 457364 | 龍華洋片HD
457365 => 457365 | Warner TV HD
457366 => 457366 | ROCK Action HD
457367 => 457367 | wedotv Movies HD
457368 => 457368 | amc電影台
457369 => 457369 | HITS HD
457370 => 457370 | 龍華經典HD
457371 => 457371 | 華藝影劇台
457372 => 457372 | CatchPlay HD
457373 => 457373 | CinemaWorld HD
457374 => 457374 | 壹電視電影台HD
457375 => 457375 | 采昌影劇台HD
457376 => 457376 | 影迷數位電影台HD
457377 => 457377 | MCE 我的歐洲電影台
457378 => 457378 | 唯心電視HD
457379 => 457379 | 佛衛慈悲台
457380 => 457380 | 華藏衛視HD
457381 => 457381 | 正德電視台HD
457382 => 457382 | 信吉電視台
457383 => 457383 | 冠軍電視台
457384 => 457384 | 華藝台灣台 HD
457385 => 457385 | 信吉藝文台HD
457386 => 457386 | 大立電視台 HD
457387 => 457387 | 富立電視台HD
457388 => 457388 | 新天地民俗台 HD
457389 => 457389 | 天良綜合台 HD
457390 => 457390 | 番薯電視台
457391 => 457391 | TV5MONDE
457393 => 457393 | FRANCE24F
457573 => 457573 | CCTV4K
458263 => 458263 | CETV4
458264 => 458264 | CETV3
458265 => 458265 | CETV2
458266 => 458266 | CETV1
46 => 46 | 天津卫视
46 => 46 | 黑龙江卫视
460724 => 460724 | DMAX HD
460725 => 460725 | 壹電視新聞HD
460726 => 460726 | 東森新聞台
460727 => 460727 | 華藏衛視HD
460728 => 460728 | 美好1台HD
460729 => 460729 | wedotv Movies HD
460730 => 460730 | 博斯運動二台HD
460731 => 460731 | 龍華動畫HD
460732 => 460732 | 天良綜合台 HD
460733 => 460733 | 博斯高球二台
460734 => 460734 | TRACE Sport Stars HD
460735 => 460735 | Euronews
460736 => 460736 | TVBS精采台HD
460738 => 460738 | 東森財經新聞台
460740 => 460740 | 三立財經新聞台HD
460741 => 460741 | 愛爾達綜合台HD
460742 => 460742 | ROCK Action HD
460744 => 460744 | Lifetime HD
460745 => 460745 | Cinemax
460746 => 460746 | 影迷數位紀實台HD
460747 => 460747 | 博斯運動一台
460748 => 460748 | 民視台灣台HD
460749 => 460749 | 罪案偵緝頻道HD
460750 => 460750 | 靖洋卡通台Nice Bingo HD
460751 => 460751 | 公視台語台HD
460753 => 460753 | HBO Signature
460754 => 460754 | HBO Family
460755 => 460755 | 中視菁采台HD
460756 => 460756 | BBC Earth HD
460757 => 460757 | Animax
460758 => 460758 | MCE 我的歐洲電影台
460759 => 460759 | 寰宇財經HD
460760 => 460760 | 華視新聞資訊HD
460761 => 460761 | 華藝中文台
460762 => 460762 | 東森購物2台HD
460764 => 460764 | 靖天綜合台HD
460765 => 460765 | 華藝台灣台 HD
460766 => 460766 | EVE HD
460767 => 460767 | BBC Lifestyle HD
460768 => 460768 | 博斯魅力HD
460769 => 460769 | 博斯無限二台
460770 => 460770 | 佛衛慈悲台
460772 => 460772 | 東森購物1台HD
460773 => 460773 | BBC NEWS HD
460774 => 460774 | Channel NewsAsia
460775 => 460775 | ELTV生活英語台
460776 => 460776 | 東森電影台
460777 => 460777 | 壹電視綜合 HD
460778 => 460778 | 愛爾達體育4台
460779 => 460779 | 中視HD
460780 => 460780 | 東森戲劇台
460781 => 460781 | 德國之聲
460782 => 460782 | 靖天電影HD
460783 => 460783 | 龍華電影HD
460784 => 460784 | 正德電視台HD
460785 => 460785 | LUXE TV HD
460786 => 460786 | Global Trekker HD
460787 => 460787 | NHK新聞資訊台HD
460788 => 460788 | 龍華影劇HD
460789 => 460789 | 冠軍電視台
460790 => 460790 | 鏡電視新聞台
460791 => 460791 | 龍華偶像HD
460792 => 460792 | 東森購物3台HD
460793 => 460793 | Cbeebies HD
460794 => 460794 | 東森購物4台HD
460795 => 460795 | 大愛二台HD
460796 => 460796 | 台視財經HD
460797 => 460797 | HBO HD
460798 => 460798 | 台灣戲劇HD
460799 => 460799 | CARTOONITO HD
460800 => 460800 | 國會頻道2HD
460801 => 460801 | OUTtv HD
460802 => 460802 | DMAX頻道
460803 => 460803 | 達文西頻道HD
460804 => 460804 | 國會頻道1HD
460805 => 460805 | 動物星球頻道
460806 => 460806 | 華視教育體育文化台
460807 => 460807 | Fun探索娛樂台 4K
460808 => 460808 | 台視HD
460809 => 460809 | 大愛電視HD
460810 => 460810 | TVB 互動新聞台
460811 => 460811 | Discovery
460812 => 460812 | CinemaWorld HD
460813 => 460813 | CatchPlay HD
460814 => 460814 | tvN HD
460815 => 460815 | 愛爾達體育1台
460816 => 460816 | 龍華經典HD
460817 => 460817 | 三立綜合台HD
460818 => 460818 | 車迷TV HD
460819 => 460819 | TV5MONDE STYLE HD 生活時尚
460821 => 460821 | TV5MONDE
460822 => 460822 | 台視新聞HD
460823 => 460823 | 靖天映畫HD
460824 => 460824 | 曼迪日本台HD
460825 => 460825 | 東森購物5台HD
460826 => 460826 | 美好2台
460827 => 460827 | Smart 知識HD
460828 => 460828 | 韓國娛樂台KMTV HD
460829 => 460829 | 中視經典台HD
460830 => 460830 | 東森綜合台
460831 => 460831 | 民視HD
460832 => 460832 | 民視新聞台HD
460833 => 460833 | EUROSPORT HD
460834 => 460834 | 龍華戲劇HD
460835 => 460835 | INULTRA
460836 => 460836 | 新天地民俗台 HD
460837 => 460837 | EYE TV戲劇台HD
460838 => 460838 | Nick Jr.
460839 => 460839 | 亞洲旅遊HD
460840 => 460840 | 半島英語新聞台Al Jazeera English HD
460841 => 460841 | 愛爾達體育2台
460842 => 460842 | 民視第一台HD
460843 => 460843 | 博斯無限台HD
460844 => 460844 | AXN
460845 => 460845 | 東森幼幼台
460846 => 460846 | TRACE Urban HD
460847 => 460847 | 公視(HD)
460848 => 460848 | 客家電視HD
460849 => 460849 | ETtoday綜合台
460850 => 460850 | 公視兒少台HD
460851 => 460851 | momo1台HD
460852 => 460852 | 美食星球HD
460853 => 460853 | 三立戲劇台HD
460854 => 460854 | LOVE NATURE 4K
460855 => 460855 | 華藝影劇台
460856 => 460856 | 靖天資訊HD
460857 => 460857 | HBO-Hits
460858 => 460858 | ROCK Entertainment
460859 => 460859 | 中視新聞HD
460860 => 460860 | 台視綜合
460861 => 460861 | 寰宇HD綜合
460862 => 460862 | momo2台HD
460863 => 460863 | 愛爾達影劇台HD
460864 => 460864 | 八大優頻道
460865 => 460865 | HGTV居家樂活頻道
460866 => 460866 | 博斯高球一台
460868 => 460868 | amc電影台
460869 => 460869 | EYE TV旅遊台HD
460870 => 460870 | 滾動力 rollor
460871 => 460871 | 寰宇新聞台灣台HD
460872 => 460872 | 古典音樂台HD
460873 => 460873 | 美亞電影HD
460874 => 460874 | 影迷數位電影台HD
460875 => 460875 | CNBC Asia
460876 => 460876 | Discovery科學HD
460877 => 460877 | Bloomberg
460878 => 460878 | 人間衛視HD
460879 => 460879 | Discovery Asia HD
460880 => 460880 | 高點育樂台
460881 => 460881 | 靖天卡通台 HD
460882 => 460882 | MTV綜合台HD
460883 => 460883 | 緯來精采HD
460884 => 460884 | 靖天日本HD
460885 => 460885 | 歷史頻道HD
460886 => 460886 | 尼克兒童頻道HD
460887 => 460887 | 富立電視台HD
460888 => 460888 | PET CLUB TV HD
460889 => 460889 | 智林體育HD
460890 => 460890 | 亞洲綜合HD
460891 => 460891 | 靖洋戲劇HD
460892 => 460892 | 采昌影劇台HD
460893 => 460893 | HBO
460894 => 460894 | 博斯網球HD
460895 => 460895 | momo綜合台HD
460896 => 460896 | 大立電視台 HD
460897 => 460897 | Warner TV HD
460898 => 460898 | 靖天育樂HD
460899 => 460899 | 愛爾達體育3台
460900 => 460900 | 幸福空間居家台
460901 => 460901 | 番薯電視台
460902 => 460902 | 寰宇新聞HD
460903 => 460903 | CNNI HD
460904 => 460904 | HITS HD
460905 => 460905 | Fashion TV HD
460906 => 460906 | DREAMWORKS
460907 => 460907 | 麥哲倫頻道 HD
460908 => 460908 | KLT-靖天國際台HD
460909 => 460909 | Mezzo Live
460910 => 460910 | Travel Channel HD
460911 => 460911 | 好消息HD
460912 => 460912 | CMusic
460913 => 460913 | FRANCE24E HD
460914 => 460914 | 原住民族電視HD
460915 => 460915 | Food Network 美食台HD
460916 => 460916 | TaiwanPlus
460917 => tvbjade | TVB 翡翠台
460918 => 460918 | 亞洲美食頻道
460919 => 460919 | 超級電視台
460920 => 460920 | 信吉電視台
460921 => 460921 | Nice TV 靖天歡樂台
460922 => 460922 | ROCK Extreme
460923 => tvbpearl | TVB Pearl
460924 => 460924 | TVB J2
460925 => 460925 | 東森洋片台
460926 => 460926 | 靖天戲劇HD
460927 => 460927 | Medici-arts HD
460928 => 460928 | 華視HD
460929 => 460929 | 龍華洋片HD
460930 => 460930 | 視納華仁紀實台HD
460931 => 460931 | 信吉藝文台HD
460932 => 460932 | 壹電視電影台HD
460933 => 460933 | FRANCE24F
460934 => 460934 | 唯心電視HD
460935 => 460935 | 頻道總表
460936 => 460936 | DAZN 2
460937 => 460937 | DAZN 3
464587 => cctv1 | CCTV-1 综合
464588 => 464588 | CCTV-2 财经
464589 => 464589 | CCTV-3 综艺
464590 => 464590 | CCTV-4 (亚洲)
464591 => 464591 | CCTV-5 体育
464592 => 464592 | CCTV-5+ 体育赛事
464593 => 464593 | CCTV-6 电影
464594 => 464594 | CCTV-7 国防军事
464595 => 464595 | CCTV-8 电视剧
464596 => 464596 | CCTV-9 纪录
464597 => 464597 | CCTV-10 科教
464598 => 464598 | CCTV-11 戏曲
464599 => 464599 | CCTV-12 社会与法
464600 => 464600 | CCTV-13 新闻
464601 => 464601 | CCTV-14 少儿
464602 => 464602 | CCTV-15 音乐
464603 => 464603 | CCTV-16奥林匹克
464604 => 464604 | CCTV-17农业农村
464605 => 464605 | CCTV-8K
464606 => 464606 | CCTV-4 (欧洲)
464607 => 464607 | CCTV-4 (美洲)
464608 => 464608 | 北京卫视
464609 => 464609 | BRTV体育休闲
464610 => 464610 | 东方卫视
464611 => 464611 | 湖南卫视
464613 => 464613 | 浙江卫视
464614 => 464614 | 江苏卫视
464615 => 464615 | 广东卫视
464616 => 464616 | 东南卫视
464617 => 464617 | 安徽卫视
464618 => 464618 | 甘肃卫视
464619 => 464619 | 辽宁卫视
464620 => 464620 | 海南卫视
464621 => 464621 | 内蒙古卫视
464622 => 464622 | 宁夏卫视
464624 => 464624 | 厦门卫视
464625 => 464625 | 云南卫视
464626 => 464626 | 重庆卫视
464627 => 464627 | 江西卫视
464628 => 464628 | 山西卫视
464629 => 464629 | 陕西卫视
464630 => 464630 | 深圳卫视
464631 => 464631 | 四川卫视
464632 => 464632 | 天津卫视
464633 => 464633 | 广西卫视
464634 => 464634 | 贵州卫视
464635 => 464635 | 河北卫视
464636 => 464636 | 河南卫视
464637 => 464637 | 黑龙江卫视
464638 => 464638 | 湖北卫视
464639 => 464639 | 吉林卫视
464640 => 464640 | 延边卫视
464641 => 464641 | 西藏卫视
464642 => 464642 | 新疆卫视
464643 => 464643 | 兵团卫视
464644 => 464644 | BRTV卡酷少儿
464645 => 464645 | 山东教育台
47 => 47 | 河北卫视
47 => 47 | 河南卫视
473812 => 473812 | 大台中生活頻道
473830 => 473830 | Now 影視點播站
474640 => 474640 | Arirang TV HD
474641 => 474641 | Arirang TV HD
476521 => 476521 | 東森購物1台HD
48 => 48 | 山西卫视
48 => 48 | 湖北卫视
485011 => 485011 | 彰化生活台
49 => 49 | 内蒙古卫视
490090 => 490090 | 好消息二台
491169 => 491169 | 好消息二台HD
492811 => 492811 | TVBS 新聞台
492812 => 492812 | TVBS
494417 => 494417 | 青海卫视
494985 => cctv1 | CCTV1
494986 => cctv2 | CCTV2
494987 => cctv3 | CCTV3
494988 => cctv4 | CCTV4
494989 => cctv5 | CCTV5
494990 => cctv5plus | CCTV5+
494991 => cctv6 | CCTV6
494992 => cctv7 | CCTV7
494993 => cctv8 | CCTV8
494994 => cctv9 | CCTV9
494995 => cctv10 | CCTV10
494996 => cctv11 | CCTV11
494997 => cctv12 | CCTV12
494998 => cctv13 | CCTV13
494999 => cctv14 | CCTV14
495000 => cctv15 | CCTV15
495001 => cctv17 | CCTV17
495002 => 495002 | 海峡卫视
495003 => 495003 | CCTV4EUO
495004 => 495004 | CCTV4AME
495005 => 495005 | 湖南卫视
495006 => 495006 | 浙江卫视
495007 => 495007 | 江苏卫视
495008 => 495008 | 北京卫视
495009 => 495009 | 东方卫视
495010 => 495010 | 安徽卫视
495011 => 495011 | 广东卫视
495012 => 495012 | 深圳卫视
495013 => 495013 | 辽宁卫视
495014 => 495014 | 旅游卫视
495015 => 495015 | 山东卫视
495016 => 495016 | 天津卫视
495017 => 495017 | 重庆卫视
495018 => 495018 | 东南卫视
495019 => 495019 | 甘肃卫视
495020 => 495020 | 广西卫视
495021 => 495021 | 贵州卫视
495022 => 495022 | 河北卫视
495023 => 495023 | 黑龙江卫视
495024 => 495024 | 河南卫视
495025 => 495025 | 湖北卫视
495026 => 495026 | 江西卫视
495027 => 495027 | 吉林卫视
495028 => 495028 | 内蒙古卫视
495029 => 495029 | 宁夏卫视
495030 => 495030 | 山西卫视
495031 => 495031 | 陕西卫视
495032 => 495032 | 四川卫视
495033 => 495033 | 新疆卫视
495034 => 495034 | 云南卫视
495035 => 495035 | 青海卫视
495036 => 495036 | 兵团卫视
495037 => 495037 | 哈哈炫动
495038 => 495038 | 延边卫视
495039 => 495039 | 黄河卫视
495040 => 495040 | 厦门卫视
495041 => 495041 | 金鹰卡通
495042 => 495042 | 康巴卫视
495043 => 495043 | 西藏卫视
495044 => 495044 | 三沙卫视
495045 => 495045 | 中国教育1台
495046 => 495046 | 中国教育2台
495047 => 495047 | CHC高清电影
495048 => 495048 | CCTV4K
495049 => 495049 | CHC动作电影
495050 => 495050 | CHC家庭电影
495051 => 495051 | 梨园
495052 => 495052 | 风云音乐
495053 => 495053 | 第一剧场
495054 => 495054 | 风云剧场
495055 => 495055 | 世界地理
495056 => 495056 | 怀旧剧场
495057 => 495057 | 兵器科技
495058 => 495058 | 女性时尚
495059 => 495059 | 高尔夫网球
495060 => 495060 | 央视精品
495061 => 495061 | 求索记录
495062 => 495062 | 汽摩
495063 => 495063 | 天元围棋
495064 => 495064 | 早期教育
495065 => 495065 | 证券资讯
495066 => 495066 | 央视台球
495067 => 495067 | 茶频道
495068 => 495068 | 武术世界
495069 => phoenixchinese | 凤凰中文
495070 => phoenixinfo | 凤凰资讯
495071 => phoenixhongkong | 凤凰香港
495072 => 495072 | 文物宝库
495073 => 495073 | 老故事
495074 => 495074 | 快乐垂钓
495075 => 495075 | 书画频道
495077 => 495077 | 四海钓鱼
495078 => 495078 | 环球旅游
495079 => 495079 | 财富天下
495081 => 495081 | noepg
495082 => 495082 | 中国教育4台
495083 => cctv16 | CCTV16
495084 => 495084 | 发现之旅
495085 => 495085 | 环球奇观
495086 => 495086 | 国学
495087 => 495087 | 风云足球
495088 => 495088 | CHC影迷电影
495607 => 495607 | TVBS歡樂台
4K少儿专区 => 少儿专区 | 4K少儿专区
4K纪实 => 纪实 | 4K纪实
4K纪实 => 纪实 | 4K纪实专区
4K视界专区 => 视界专区 | 4K视界专区
5 => cctv5 | CCTV5
50 => 50 | 江西卫视
50 => 50 | 辽宁卫视
501114 => 501114 | 民視第一台
