1 => cctv1 | CCTV1
1282 => 1282 | 都市剧场
1283 => 1283 | 游戏风云
1284 => 1284 | 上视新闻频道
1284 => 1284 | 寰宇新闻台
1285 => 1285 | 第一财经
1286 => 1286 | 东方影视
1287 => 1287 | 五星体育频道
129 => 129 | 世界地理
1290 => 1290 | 影迷数位纪实台
1291 => 1291 | 影迷数位电影台
1293 => 1293 | 中国交通频道
1293 => 1293 | 爱尔达娱乐台
1295 => 1295 | 爱尔达生活旅游台
13 => cctv12 | CCTV12
130 => 130 | 中学生
131 => 131 | 书画频道
1314 => ftv | 民视
1316 => 1316 | 民视影剧台
1317 => 1317 | 湖南娱乐
1318 => 1318 | 民视旅游台
1318 => 1318 | 湖南电视剧
132 => 132 | 国学
1320 => 1320 | 湖南电影
1321 => 1321 | 民视综艺台
1322 => 1322 | 经典卡通台
1323 => 1323 | 湖南经视
1323 => 1323 | 经典电影台
1324 => 1324 | 金鹰纪实
133 => 133 | 汽摩
1336 => 1336 | 华视新闻
134 => 134 | 早期教育
1340 => 1340 | 靖天戏剧台
135 => 135 | 环球奇观
1353 => 1353 | SCTV2
1354 => 1354 | SCTV3
1355 => 1355 | SCTV4
1356 => 1356 | SCTV5
1358 => 1358 | SCTV7
1359 => 1359 | 峨嵋电影
136 => 136 | 电视指南
1361 => 1361 | SCTV8
1363 => 1363 | CDTV1
1364 => 1364 | CDTV2
1365 => 1365 | CDTV3
1366 => 1366 | CDTV4
1367 => 1367 | CDTV5
1368 => 1368 | CDTV6
137 => 137 | 高尔夫
138 => 138 | 盐城1
139 => 139 | 盐城2
14 => cctv13 | CCTV13
141 => 141 | 南京新闻综合
141 => phoenixchinese | 凤凰中文
142 => 142 | 南京十八
142 => phoenixinfo | 凤凰资讯
1424 => 1424 | 风云足球
1425 => 1425 | 辽宁都市
1426 => 1426 | 辽宁影视剧
1427 => 1427 | 辽宁青少
1428 => 1428 | 辽宁生活
1429 => 1429 | 辽宁公共
143 => 143 | 南京教科
143 => phoenixhongkong | 凤凰香港
1430 => 1430 | 辽宁北方
1431 => 1431 | 辽宁体育
1432 => 1432 | 辽宁经济
1434 => 1434 | 嘉佳卡通
1436 => 1436 | 广东体育
1439 => 1439 | 广东新闻
144 => 144 | 南京影视
145 => 145 | 南京文旅纪录
146 => 146 | 南京少儿
147 => 147 | 徐州新闻综合
148 => 148 | 徐州经济生活
149 => 149 | 徐州文艺影视
15 => cctv14 | CCTV14
151 => 151 | 铜山1
152 => 152 | 铜山2
153 => 153 | 铜山3
154 => 154 | 铜山4
155 => 155 | 邳州综合
156 => 156 | 徐州新沂1
159 => 159 | 徐州新沂4
16 => cctv15 | CCTV15
160 => 160 | 徐州沛县新闻综合
161 => 161 | 徐州沛县生活
162 => 162 | 徐州沛县综艺
163 => 163 | 徐州贾汪频道
1638 => 1638 | 求索科学
1639 => 1639 | CHC高清电影
164 => 164 | 徐州贾汪旅游频道
1640 => 1640 | 求索动物
1642 => 1642 | 求索记录
1643 => 1643 | CHC动作电影
1644 => 1644 | CHC家庭电影
1645 => 1645 | 梨园
1646 => 1646 | 风云音乐
1647 => 1647 | 第一剧场
1648 => 1648 | 风云剧场
1649 => 1649 | 世界地理
165 => 165 | 睢宁综合
1651 => 1651 | 怀旧剧场
1652 => 1652 | 兵器科技
1653 => 1653 | 女性时尚
1657 => 1657 | 高尔夫网球
1658 => 1658 | 央视精品
166 => 166 | 睢宁三农
1662 => 1662 | 汽摩
1667 => 1667 | 天元围棋
167 => 167 | 睢宁资讯
1670 => 1670 | 早期教育
1671 => 1671 | 证券资讯
1673 => 1673 | 央视台球
1674 => 1674 | 茶频道
1675 => 1675 | 武术世界
1677 => 1677 | 发现之旅
1678 => 1678 | 环球奇观
1679 => 1679 | 国学
168 => 168 | 常州新闻
1680 => 1680 | 文物宝库
1683 => 1683 | 老故事
1684 => 1684 | 快乐垂钓
1685 => 1685 | 书画频道
169 => 169 | 常州都市
1695 => 1695 | 四海钓鱼
1697 => 1697 | 环球旅游
17 => cctv16 | CCTV16
17 => cctv17 | CCTV17
170 => 170 | 常州生活
171 => 171 | 连云港新闻综合
1712 => 1712 | 财富天下
172 => 172 | 连云港公共频道
173 => 173 | 东海新闻
174 => 174 | 东海文娱
175 => 175 | 赣榆综合
1759 => 1759 | 珠江频道
176 => 176 | 淮安影视娱乐
177 => 177 | 淮安新闻综合
178 => 178 | 淮安公共
179 => 179 | 扬州生活
18 => cctv16 | CCTV16 4K
180 => 180 | 江都频道
181 => 181 | 宝应新闻综合
182 => 182 | 镇江1
183 => 183 | 镇江2
185 => 185 | 泰州1
1857 => 1857 | 魅力足球
186 => 186 | 泰州2
1860 => 1860 | 中国教育4台
1864 => cctv16 | CCTV16
1865 => 1865 | 广东影视
1866 => 1866 | 广东综艺
1867 => 1867 | 广东经济
1868 => 1868 | 广东少儿
187 => 187 | 泰州3
188 => 188 | 宿迁综合
189 => 189 | 宿迁公共
19 => cctv17 | CCTV17
190 => 190 | 泗洪综合
191 => 191 | 南通1
192 => 192 | 南通2
193 => 193 | 南通3
194 => 194 | 黑莓影视
1940 => 1940 | 新疆哈语
1942 => 1942 | 新疆维语
1943 => 1943 | 新疆汉语
1944 => 1944 | 新疆体育
1945 => 1945 | 新疆少儿
195 => 195 | 天元围棋
1953 => 1953 | 宁夏文旅
1954 => 1954 | 青海都市
1955 => 1955 | 青海经视
1957 => 1957 | 甘肃科教
196 => 196 | 江苏城市
1960 => 1960 | 陕西新闻
1961 => 1961 | 陕西都市
1962 => 1962 | 陕西银龄
1963 => 1963 | 陕西秦腔
1964 => 1964 | 陕西体育
1967 => 1967 | 云南康旅
